display,id,object_type,natural_slug,log_level,grouping,message,log_object,absolute_url,job_result__id,created
Running job,12d6d53c-bb90-499c-a4fd-2a9e0d39407e,extras.joblogentry,unknown,info,initialization,Running job,SE350 Host Verification (SSH),/extras/jobs/e3fe9555-6dba-4dbc-8c63-951311bb6cfd/,d822dd1f-378b-4140-861d-7df4817abc06,2026-08-10T13:44:15.151504-05:00
Disk /dev/sda: size=119.2G model=ThinkSystem_M.2_VD serial=ThinkSystem_M.2_VD_f5d1e806d1a30010 path=pci-0000:05:00.0-ata-1.0,4ac14d2a-5725-4bd7-b666-a576d89abf01,extras.joblogentry,unknown,info,_check_disks,Disk /dev/sda: size=119.2G model=ThinkSystem_M.2_VD serial=ThinkSystem_M.2_VD_f5d1e806d1a30010 path=pci-0000:05:00.0-ata-1.0,,,d822dd1f-378b-4140-861d-7df4817abc06,2026-08-10T13:44:16.174447-05:00
Disk /dev/sdb: size=1.7T model=ThinkSystem_M.2_VD serial=ThinkSystem_M.2_VD_93a59befa13e0010 path=pci-0000:66:00.0-ata-1.0,dfa5932f-ffbb-4e95-9b62-7471fa701f4a,extras.joblogentry,unknown,info,_check_disks,Disk /dev/sdb: size=1.7T model=ThinkSystem_M.2_VD serial=ThinkSystem_M.2_VD_93a59befa13e0010 path=pci-0000:66:00.0-ata-1.0,,,d822dd1f-378b-4140-861d-7df4817abc06,2026-08-10T13:44:16.190601-05:00
PASS: §4 disk inventory + install filter — install disk_filter {'ID_PATH': 'pci-0000:05:00.0-ata-1.0'} selects exactly one disk: /dev/sda (119.2G) — the installer cannot touch the other volume(s),0503abd6-3f82-4647-958e-1a3351c6e64b,extras.joblogentry,unknown,info,run,PASS: §4 disk inventory + install filter — install disk_filter {'ID_PATH': 'pci-0000:05:00.0-ata-1.0'} selects exactly one disk: /dev/sda (119.2G) — the installer cannot touch the other volume(s),,,d822dd1f-378b-4140-861d-7df4817abc06,2026-08-10T13:44:16.206089-05:00
"PASS: §4 boot adapter topology — boot adapter 0000:05:00.0 present — storage controllers: 00:11.5 SATA controller: Intel Corporation C620 Series Chipset Family SSATA Controller [AHCI mode] (rev 04)
00:17.0 SATA controller: Intel Corporation C620 Series Chipset Family SATA Controller [AHCI mode] (rev 04)
05:00.0 SATA controller: Marvell Technology Group Ltd. 88SE9230 PCIe 2.0 x2 4-port SATA 6 Gb/s RAID Controller (rev 11)
65:00.0 SATA controller: Marvell Technology Group Ltd. 88SE9230 PCIe 2.0 x2 4-port SATA 6 Gb/s RAID Controller (rev 11)
66:00.0 SATA controller: Marvell Technology Group Ltd. 88SE9230 PCIe 2.0 x2 4-port SATA 6 Gb/s RAID Controller (rev 11)",087a4675-4295-4913-b214-302a0a0143cf,extras.joblogentry,unknown,info,run,"PASS: §4 boot adapter topology — boot adapter 0000:05:00.0 present — storage controllers: 00:11.5 SATA controller: Intel Corporation C620 Series Chipset Family SSATA Controller [AHCI mode] (rev 04)
00:17.0 SATA controller: Intel Corporation C620 Series Chipset Family SATA Controller [AHCI mode] (rev 04)
05:00.0 SATA controller: Marvell Technology Group Ltd. 88SE9230 PCIe 2.0 x2 4-port SATA 6 Gb/s RAID Controller (rev 11)
65:00.0 SATA controller: Marvell Technology Group Ltd. 88SE9230 PCIe 2.0 x2 4-port SATA 6 Gb/s RAID Controller (rev 11)
66:00.0 SATA controller: Marvell Technology Group Ltd. 88SE9230 PCIe 2.0 x2 4-port SATA 6 Gb/s RAID Controller (rev 11)",,,d822dd1f-378b-4140-861d-7df4817abc06,2026-08-10T13:44:16.312905-05:00
INFO: §5 DMI serial vs SoT — DMI serial = 'J101YCEB' (this is the answer-service lookup key; no Device supplied to compare against),5644c918-521a-43e4-ac29-adaeeaa9c5ba,extras.joblogentry,unknown,info,run,INFO: §5 DMI serial vs SoT — DMI serial = 'J101YCEB' (this is the answer-service lookup key; no Device supplied to compare against),,,d822dd1f-378b-4140-861d-7df4817abc06,2026-08-10T13:44:16.419747-05:00
PORT nic3 :: disable-fw-lldp        : on,df38ebfc-1ce2-4549-985c-e11ccb72f032,extras.joblogentry,unknown,info,_check_x722_lldp,PORT nic3 :: disable-fw-lldp        : on,,,d822dd1f-378b-4140-861d-7df4817abc06,2026-08-10T13:44:16.650514-05:00
PORT nic4 :: disable-fw-lldp       : on,13fee9f6-4f59-492b-9419-2bae4b8e8036,extras.joblogentry,unknown,info,_check_x722_lldp,PORT nic4 :: disable-fw-lldp       : on,,,d822dd1f-378b-4140-861d-7df4817abc06,2026-08-10T13:44:16.668252-05:00
PASS: §6 X722 disable-fw-lldp — all 2 X722 ports expose disable-fw-lldp (states logged above),3f53adcf-3d99-45f9-a0cb-294fc22a703c,extras.joblogentry,unknown,info,run,PASS: §6 X722 disable-fw-lldp — all 2 X722 ports expose disable-fw-lldp (states logged above),,,d822dd1f-378b-4140-861d-7df4817abc06,2026-08-10T13:44:16.676387-05:00
INFO: §9 Secure Boot state — Secure Boot (host view): SecureBoot disabled,408326c9-d2fe-4327-a468-88f0d26068a5,extras.joblogentry,unknown,info,run,INFO: §9 Secure Boot state — Secure Boot (host view): SecureBoot disabled,,,d822dd1f-378b-4140-861d-7df4817abc06,2026-08-10T13:44:16.776664-05:00
INFO: BIOS-effect readbacks — BIOS-effect readbacks — cpuidle: POLL C1; governor: performance; cores: 32,401bbc03-665e-4d00-ac5b-22baf9d68571,extras.joblogentry,unknown,info,run,INFO: BIOS-effect readbacks — BIOS-effect readbacks — cpuidle: POLL C1; governor: performance; cores: 32,,,d822dd1f-378b-4140-861d-7df4817abc06,2026-08-10T13:44:16.889429-05:00
Job completed,eb096608-bfc9-4558-ad50-2d09eb4970f6,extras.joblogentry,unknown,success,post_run,Job completed,,,d822dd1f-378b-4140-861d-7df4817abc06,2026-08-10T13:44:16.940342-05:00
